piid,vendor_name,vendor_duns,naics,psc,award_amount,award_date,place_of_performance_city,place_of_performance_state
GS23F0001X,Acme Technology Solutions,123456789,541511,D302,1250000.00,2023-03-15,Washington,DC
FA8750-23-C-0001,TechCorp Industries,987654321,541512,R408,3500000.00,2023-06-20,Arlington,VA
N00024-23-C-4567,Digital Services Group,456789123,541513,D307,875000.00,2023-01-10,San Diego,CA
W911QY-23-C-0089,Federal IT Partners,789123456,541519,D310,2100000.00,2023-09-05,Fort Belvoir,VA
HSHQDC-23-D-00045,Cloud Services LLC,321654987,541611,R413,4200000.00,2023-04-18,Denver,CO
GS23F0042Y,DataSystems Corp,654987321,541618,D313,1750000.00,2023-07-22,Austin,TX
FA8771-23-C-0123,CyberSecurity Experts,147258369,541690,D314,3100000.00,2023-05-30,Colorado Springs,CO
N00178-23-C-9876,Network Solutions Inc,258369147,541715,D316,950000.00,2023-02-14,Norfolk,VA
W52P1J-23-C-0456,Enterprise Software Group,369147258,541990,D399,1500000.00,2023-08-11,Huntsville,AL
HSHQE3-23-C-0234,Consulting Partners LLC,963852741,561210,R425,2800000.00,2023-10-25,Chicago,IL
GS23F0089Z,Infrastructure Specialists,852741963,561320,R497,1325000.00,2023-11-03,Seattle,WA
FA8732-23-C-0567,Application Developers Inc,741963852,561499,R499,2450000.00,2023-12-01,Boston,MA
